,velikost,lokace
635,3+kk,karlovy-vary-karlovy-vary-sumavska
638,2+kk,praha-zlicin-sazovicka
642,3+1,praha-zizkov-olgy-havlove
645,3+kk,praha-zizkov-rixdorfska
649,3+kk,praha-vysocany-vysocanska
652,3+kk,velke-karlovice--
656,2+kk,praha-stodulky-armady
659,2+kk,praha-stodulky-armady
663,2+kk,praha-stodulky-armady
666,3+kk,praha-stodulky-armady
670,2+kk,praha-stodulky-armady
673,2+kk,praha-stodulky-armady
677,3+kk,praha-stodulky-armady
680,3+kk,praha-stodulky-armady
684,2+kk,praha-stodulky-armady
687,2+kk,praha-stodulky-armady
691,2+kk,praha-stodulky-armady
694,2+kk,praha-stodulky-armady
698,2+kk,praha-stodulky-armady
701,2+kk,praha-stodulky-armady
705,3+kk,praha-stodulky-armady
708,3+kk,praha-stodulky-armady
712,2+kk,praha-stodulky-armady
715,2+kk,praha-stodulky-armady
719,3+kk,praha-stodulky-armady
722,2+kk,praha-stodulky-armady
726,2+kk,praha-stodulky-armady
729,2+kk,praha-stodulky-armady
733,2+kk,usti-nad-labem-klise-klisska
736,3+1,hradec-kralove-hradec-kralove-okruzni
740,3+1,lisany-lisany-rakovnicka
743,3+1,cernosice-cernosice-komenskeho
747,2+1,ostrava-marianske-hory-hudebni
750,2+1,opava-predmesti-vojanova
754,2+1,praha-hostivar-horolezecka
757,1+kk,praha-ujezd-u-pruhonic-formanska
761,2+kk,praha-horni-pocernice-bozanovska
764,3+1,most-most-josefa-skupy
768,3+kk,praha-vinohrady-chodska
771,3+kk,praha-bubenec-cs--armady
775,1+kk,nehvizdy--
778,3+1,novy-bor-novy-bor-palackeho
782,2+1,krupka-marsov-karla-capka
785,2+kk,krupka-marsov-dukelskych-hrdinu
789,3+kk,praha-haje-hlavateho
792,3+1,usti-nad-orlici-usti-nad-orlici-pricna
796,2+1,usti-nad-labem-nestemice-sibirska
799,2+1,karvina-hranice-csl--armady
803,2+1,ostrava-hrabuvka-cholevova
806,2+1,frydek-mistek-mistek-anenska
810,1+1,jachymov-jachymov-husova
813,2+1,pribor-pribor-frenstatska
817,2+kk,praha-jinonice-pod-stolovou-horou
820,4+kk,praha-josefov-siroka
824,2+kk,praha-smichov-ostrovskeho
827,2+kk,praha-holesovice-v-pristavu
831,2+kk,praha-smichov-ostrovskeho
834,2+1,praha-vinohrady-kolinska
838,2+1,liberec-liberec-vi-rochlice-nam--kyjevske
841,2+1,mezibori-mezibori-mirova
845,3+kk,praha-dolni-mecholupy-kryspinova
848,3+kk,praha-holesovice-dukelskych-hrdinu
852,2+kk,dobrichovice-dobrichovice-na-vyhlidce
855,5+1,revnice-revnice-v-luhu
859,3+1,teplice-trnovany-fugnerova
862,3+1,praha-hostivar-tenisova
866,3+kk,praha-cerny-most-
869,4+kk,praha-brevnov-ve-stresovickach
873,2+kk,praha-praha-5-nadrazni
876,2+kk,praha-praha-5-nadrazni
880,3+1,vrchlabi-vrchlabi-u-nemocnice
883,3+kk,hostivice-hostivice-za-zahradami
887,3+1,praha-hostivar-u-pekaren
890,3+kk,plzen--vysoka
894,3+kk,plzen--vysoka
897,4+kk,plzen--vysoka
901,2+kk,plzen--vysoka
904,1+kk,plzen--vysoka
908,2+kk,plzen--vysoka
911,1+kk,plzen--vysoka
915,3+kk,praha-dejvice-heinemannova
918,3+kk,zruc-nad-sazavou-zruc-nad-sazavou-namesti-miru
922,2+kk,praha-vinohrady-balbinova
925,3+kk,praha-vinohrady-balbinova
929,2+kk,zruc-nad-sazavou-zruc-nad-sazavou-namesti-miru
932,1+kk,praha-vinor-ceskodubska
936,2+kk,praha-vysocany-bratri-dohalskych
939,4+kk,praha-cerny-most-vasatkova
943,1+kk,ceske-budejovice-ceske-budejovice-2-litvinovicka
946,1+1,brno-kralovo-pole-bozetechova
950,2+1,praha-vinohrady-hollarovo-namesti
953,4+kk,praha-uhrineves-u-uhrineveske-obory
957,4+kk,praha-suchdol-suchdolske-namesti
960,3+kk,praha-suchdol-suchdolske-namesti
964,6-a-vice,praha-suchdol-suchdolske-namesti
967,4+kk,praha-suchdol-suchdolske-namesti
971,4+kk,praha-suchdol-suchdolske-namesti
974,5+kk,praha-suchdol-suchdolske-namesti
978,3+1,praha-zabehlice-strimelicka
981,2+kk,praha-michle-hanusova
985,1+kk,praha-stresovice-na-petynce
988,1+kk,jirkov-jirkov-studentska
992,2+kk,praha-zabehlice-velenovskeho
995,3+1,chodov-chodov-tovarni
999,5+kk,praha-dejvice-
1002,4+kk,pardubice-ohrazenice-u-sportovni-skoly
1006,2+1,karvina-raj-kosmonautu
1009,2+kk,ostrava-moravska-ostrava-u-parku
1013,2+1,ostrava-hrabuvka-josefa-kotase
1016,3+kk,ostrava-hrabuvka-tlapakova
1020,4+kk,brno-zabovresky-dunajevskeho
1023,4+kk,praha-karlin-sokolovska
1027,3+kk,praha-karlin-sokolovska
1030,4+kk,praha-smichov-kobrova
1034,4+kk,praha-praha-5-pechlatova
1037,1+1,praha-hlubocepy-na-zlichove
1041,2+kk,praha-lipence-ceskeho-cerveneho-krize
1044,2+kk,praha-zizkov-kristanova
1048,1+kk,kolin-kolin-ii-krcinova
1051,1+kk,praha-hloubetin-modreho
1055,3+kk,praha-malesice-pocernicka
1058,4+kk,praha-praha-5-pechlatova
1062,1+1,praha-hlubocepy-na-zlichove
1065,4+1,praha-nove-mesto-gorazdova
1069,2+1,karlovy-vary-drahovice-vychodni
1072,2+1,benesov-nad-ploucnici-benesov-nad-ploucnici-sidliste
1076,3+1,rokycany-nove-mesto-prazska
1079,1+kk,praha-zizkov-slavikova
1083,2+1,praha-holesovice-umelecka
1086,1+kk,praha-nusle-lumirova
1090,4+kk,praha-praha-5-janackovo-nabrezi
1093,3+kk,praha-vinohrady-v-horni-stromce
1096,5+kk,praha-vrsovice-kodanska
1098,1+kk,praha-zlicin-miloticka
1102,3+1,opava-predmesti-englisova
1105,3+1,blatna-blatna-k-jatkam
1109,2+kk,beroun-beroun-mesto-okruzni
1112,2+kk,praha-stresovice-na-petynce
1116,3+kk,karlovy-vary-karlovy-vary-krizikova
1119,3+1,karlovy-vary-karlovy-vary-dr--davida-bechera
1123,1+kk,praha-liben-u-slovanky
1126,5+kk,praha-holesovice-bubenska
1130,3+kk,stare-buky-prostredni-stare-buky-
1133,4+1,brno-zidenice-valticka
1137,3+1,brno-zidenice-velkopavlovicka
1140,4+kk,praha-uhrineves-oty-bubenicka
1144,3+kk,praha-uhrineves-namesti-protifasistickych-bojovniku
1147,3+kk,praha-kolovraty-mladotova
1151,2+kk,praha-horni-mecholupy-hornomecholupska
1154,3+kk,praha-uhrineves-ke-krizi
1158,2+1,milovice-milovice-letecka
1161,2+1,ostrava-hrabuvka-dr--martinka
1165,2+1,frydek-mistek-frydek-
1168,3+1,praha-zizkov-jeseniova
1172,2+1,karlovy-vary-drahovice-vitezna
1175,2+1,karlovy-vary-karlovy-vary-foersterova
1179,2+kk,praha-hostivar-strasnicka
1182,3+1,praha-smichov-radlicka
1186,3+kk,kamenice-ladvi-benesovska
1189,3+kk,slany-slany-trebizskeho
1193,2+kk,praha-smichov-holubova
1196,2+kk,lipno-nad-vltavou-lipno-nad-vltavou-
1200,2+kk,praha-liben-novakovych
1203,1+kk,praha-cerny-most-bryksova
1207,2+kk,praha-cerny-most-bryksova
1210,3+kk,praha-cerny-most-
1214,4+kk,celakovice-celakovice-delnicka
1217,3+kk,nehvizdy--
1221,1+kk,praha-praha-5-pechlatova
1224,2+kk,karlovy-vary-karlovy-vary-foersterova
1228,4+kk,uvaly-uvaly-skvorecka
1231,3+1,karlovy-vary-karlovy-vary-foersterova
1235,3+kk,praha-bubenec-na-marne
1238,4+kk,praha-vokovice-nobelova
1242,3+kk,praha-zizkov-olsanska
1245,3+1,blazovice-blazovice-nadrazni
1249,3+kk,mlada-boleslav-mlada-boleslav-ii-bozeny-nemcove
1252,1+1,praha-hostivar-u-pekaren
1256,2+1,praha-hostivar-u-pekaren
1259,2+1,kadan-kadan-budovatelu
1263,2+1,praha-liben-novakovych
1266,3+1,most-most-tr--budovatelu
1270,3+1,praha-stodulky-prusikova
1273,3+1,chomutov-chomutov-zahradni
1277,2+kk,karlovy-vary-karlovy-vary-foersterova
1280,2+kk,karlovy-vary-karlovy-vary-foersterova
1284,3+1,praha-kobylisy-chotovicka
1287,1+kk,soutice-soutice-
1291,2+kk,roztoky-roztoky-masarykova
1294,3+kk,jinocany-jinocany-miresicka
1298,3+1,frydek-mistek-frydek-cihelni
1301,2+kk,trutnov-kryblice-maxima-gorkeho
1305,5+kk,praha-vinohrady-lucemburska
1308,4+kk,praha-vinohrady-lucemburska
1312,2+kk,brno-bohunice-ukrajinska
1315,2+kk,praha-bubenec-na-vysinach
1319,2+kk,praha-vinohrady-kolinska
1322,1+kk,plzen-vychodni-predmesti-bozkovska
1325,2+kk,praha-nove-mesto-truhlarska
1329,2+kk,praha-nove-mesto-na-rybnicku
1332,1+kk,praha-branik-nad-malym-mytem
1336,3+1,praha-holesovice-veletrzni
1339,3+kk,praha-smichov-holeckova
1343,1+1,praha-bohnice-zelenohorska
1346,3+1,olomouc-nove-sady-jakoubka-ze-stribra
1350,2+kk,praha-stodulky-petrzilkova
1353,4+1,praha-dejvice-na-spitalce
1357,3+1,praha-karlin-sokolovska
1360,2+kk,praha-dablice-u-spoju
1364,2+1,praha-kobylisy-brezineveska
1367,3+kk,plzen-skvrnany-vojanova
1369,4+kk,praha-karlin-sokolovska
1373,2+1,praha-holesovice-ortenovo-namesti
1376,2+1,kolin-kolin-ii-krcinova
1380,3+kk,praha-cakovice-marty-krasove
1383,3+1,brno-cerna-pole-antonina-slavika
1387,3+kk,praha-modrany-soukalova
1390,3+1,praha-holesovice-milady-horakove
1394,3+kk,praha-cakovice-radbuzska
1397,2+kk,praha-praha-dolni-mecholupy-
